chapter	page	type
1	1	illustration
1	5	photograph
1	18	photograph
1	19	illustration
1	20	photograph
1	21	plot
1	24	plot
1	25	illustration
2	29	illustration
2	33	photograph
2	37	illustration
2	45	photograph
2	51	photograph
2	58	photograph
2	60	photograph
2	69	photograph
3	73	illustration
3	82	photograph
3	85	illustration
3	87	photograph
3	90	photograph
3	90	illustration
3	94	photograph
3	105	illustration
3	107	photograph
4	119	illustration
4	121	illustration
4	122	illustration
4	124	illustration
4	131	illustration
4	132	illustration
4	138	photograph
4	140	photograph
4	143	photograph
4	146	photograph
4	148	photograph
4	150	photograph
4	156	illustration
4	162	photograph
4	166	photograph
4	168	photograph
4	169	photograph
4	171	illustration
4	172	photograph
5	176	illustration
5	181	illustration
5	183	illustration
5	186	illustration
5	187	illustration
5	188	illustration
5	189	illustration
5	190	photograph
5	192	photograph
5	194	illustration
5	195	illustration
5	196	illustration
5	200	illustration
5	202	illustration
5	203	illustration
5	204	illustration
5	206	illustration
5	209	illustration
5	211	plot
5	212	illustration
5	213	illustration
5	214	illustration
5	216	photograph
5	218	illustration
5	221	illustration
5	227	illustration
5	234	illustration
5	235	photograph
5	240	illustration
5	243	illustration
5	247	photograph
5	253	illustration
6	261	illustration
6	263	photograph
6	267	illustration
6	268	photograph
6	269	photograph
6	271	photograph
6	274	illustration
6	280	illustration
6	289	illustration
6	289	illustration
6	291	photograph
7	297	illustration
